Year,CO2_emission,LandAverageTemperature,LandAndOceanAverageTemperature,LandMaxTemperature,LandMinTemperature,Energy_consumption,Energy_production,GDP,Population
1850.0,,7.901,14.867,13.477,1.964,,,,
1851.0,,8.179,14.992,13.081,2.204,,,,
1852.0,,8.1,15.007,13.397,2.337,,,,
1853.0,,8.042,14.955,13.887,1.892,,,,
1854.0,,8.21,14.991,13.977,1.762,,,,
1855.0,,8.111,15.021,13.493,1.703,,,,
1856.0,,7.996,14.879,13.47,1.525,,,,
1857.0,,7.758,14.758,13.438,1.857,,,,
1858.0,,8.1,14.882,13.683,2.111,,,,
1859.0,,8.252,14.93,13.86,2.46,,,,
1860.0,,7.961,14.883,13.96,2.344,,,,
1861.0,,7.847,14.801,13.857,2.263,,,,
1862.0,,7.559,14.74,14.247,2.483,,,,
1863.0,,8.112,14.936,13.62,2.767,,,,
1864.0,,7.984,14.896,13.919,2.41,,,,
1865.0,,8.178,14.997,14.298,2.552,,,,
1866.0,,8.292,15.057,14.166,2.432,,,,
1867.0,,8.436,15.059,14.147,2.464,,,,
1868.0,,8.248,15.097,14.098,2.37,,,,
1869.0,,8.432,15.065,14.07,2.165,,,,
1870.0,,8.201,15.004,14.21,2.425,,,,
1871.0,,8.115,15.006,13.984,2.158,,,,
1872.0,,8.194,15.019,14.285,2.187,,,,
1873.0,,8.351,15.049,14.01,1.904,,,,
1874.0,,8.434,14.957,13.884,2.062,,,,
1875.0,,7.86,14.922,14.008,1.614,,,,
1876.0,,8.08,14.909,13.935,2.135,,,,
1877.0,,8.54,15.283,14.43,2.649,,,,
1878.0,,8.83,15.357,14.742,2.982,,,,
1879.0,,8.166,15.064,14.066,2.079,,,,
1880.0,,8.119,15.009,13.913,2.054,,,,
1881.0,,8.271,15.087,14.05,2.426,,,,
1882.0,,8.129,15.057,14.114,2.273,,,,
1883.0,,7.977,14.963,13.962,1.88,,,,
1884.0,,7.774,14.833,13.692,1.648,,,,
1885.0,,7.92,14.854,13.912,1.874,,,,
1886.0,,7.954,14.835,13.946,1.971,,,,
1887.0,,7.915,14.816,13.89,1.907,,,,
1888.0,,8.091,14.994,13.909,1.954,,,,
1889.0,,8.319,15.113,14.294,2.348,,,,
1890.0,,7.972,14.841,13.929,1.851,,,,
1891.0,,8.019,14.944,14.033,1.906,,,,
1892.0,,8.066,14.882,13.971,1.982,,,,
1893.0,,8.057,14.912,13.937,1.907,,,,
1894.0,,8.161,14.915,14.041,2.124,,,,
1895.0,,8.147,14.969,14.078,2.076,,,,
1896.0,,8.215,15.091,14.108,2.115,,,,
1897.0,,8.293,15.075,14.187,2.294,,,,
1898.0,,8.178,14.887,14.232,2.153,,,,
1899.0,,8.396,15.048,14.332,2.43,,,,
1900.0,,8.502,15.144,14.39,2.576,,,,
1901.0,,8.542,15.073,14.512,2.49,,,,
1902.0,,8.304,14.958,14.364,2.204,,,,
1903.0,,8.22,14.837,14.086,2.283,,,,
1904.0,,8.091,14.81,14.064,2.171,,,,
1905.0,,8.225,14.955,14.082,2.343,,,,
1906.0,,8.379,15.032,14.244,2.486,,,,
1907.0,,7.947,14.875,13.808,2.003,,,,
1908.0,,8.186,14.838,14.039,2.175,,,,
1909.0,,8.178,14.79,14.027,2.158,,,,
1910.0,,8.223,14.819,14.097,2.158,,,,
1911.0,,8.177,14.776,13.988,2.25,,,,
1912.0,,8.165,14.877,14.053,2.201,,,,
1913.0,,8.298,14.909,14.202,2.319,,,,
1914.0,,8.59,15.076,14.315,2.687,,,,
1915.0,,8.593,15.144,14.474,2.644,,,,
1916.0,,8.225,14.901,14.097,2.262,,,,
1917.0,,8.023,14.81,13.926,2.02,,,,
1918.0,,8.131,14.96,13.961,2.186,,,,
1919.0,,8.382,15.007,14.156,2.451,,,,
