Year,CO2_emission,LandAverageTemperature,LandAndOceanAverageTemperature,LandMaxTemperature,LandMinTemperature,Energy_consumption,Energy_production,GDP,Population
1980,4946.627,8.98,15.492,14.673,3.405,292.9,296.337,27770.91,4298126.522
1981,18701.974,9.166,15.516,14.855,3.636,289.401,291.288,28665.819,4377059.559
1982,18327.414,8.639,15.342,14.301,3.24,289.691,290.121,28801.77,4456829.974
1983,18284.002,9.028,15.52,14.68,3.552,293.732,293.047,29617.577,4537793.894
1984,18478.512,8.692,15.344,14.343,3.187,307.234,308.921,31097.253,4572800.782
1985,19602.547,8.658,15.341,14.267,3.176,315.427,316.464,32289.041,4657357.404
1986,20027.313,8.834,15.384,14.517,3.319,322.185,326.753,33425.371,4745135.925
1987,20511.371,8.994,15.525,14.7,3.431,332.746,334.385,34792.987,4835605.846
1988,21163.841,9.202,15.556,14.89,3.654,345.561,347.413,42106.595,4927545.084
1989,21842.542,8.922,15.442,14.621,3.334,351.352,354.008,44075.635,5056794.374
1990,22158.63,9.234,15.629,14.958,3.659,353.545,357.84,49229.891,5294251.487
1991,22144.803,9.179,15.598,14.84,3.622,353.894,355.131,50156.763,5396473.677
1992,21974.868,8.837,15.453,14.471,3.264,352.851,353.936,51016.353,5481774.19
1993,21766.142,8.867,15.466,14.52,3.285,355.676,354.594,52108.495,5581568.665
1994,21891.921,9.039,15.535,14.729,3.396,359.522,360.673,53646.343,5663996.163
1995,22064.884,9.347,15.638,15.026,3.704,369.364,368.576,55384.827,5745283.941
1996,22552.702,9.039,15.525,14.737,3.381,379.192,377.753,57529.161,5826303.733
1997,23042.162,9.203,15.714,14.868,3.59,380.357,382.303,59832.327,5906491.026
1998,23112.851,9.523,15.826,15.169,3.949,382.489,386.793,61263.857,5985040.946
1999,23152.164,9.285,15.6,14.983,3.662,389.69,386.638,63358.516,6063581.745
2000,23494.916,9.201,15.611,14.899,3.582,402.379,399.855,66398.356,6141880.599
2001,24258.081,9.415,15.767,15.159,3.741,405.22,405.547,67935.206,6220160.568
2002,24463.109,9.57,15.829,15.312,3.865,413.971,407.358,69813.838,6298597.47
2003,25016.047,9.526,15.827,15.249,3.852,428.502,423.131,72365.06,6377289.066
2004,26169.806,9.325,15.757,15.018,3.664,450.689,445.446,76045.708,6456652.845
2005,27602.32,9.701,15.879,15.35,4.114,465.293,461.321,79576.345,6536810.245
2006,28689.677,9.532,15.813,15.262,3.865,480.025,473.697,83710.081,6618223.737
2007,29632.54,9.732,15.827,15.533,4.009,493.056,482.361,88074.602,6700371.898
2008,30083.782,9.432,15.721,15.192,3.725,499.786,495.321,90624.604,6783134.44
2009,30795.451,9.505,15.827,15.267,3.797,495.067,493.043,90003.176,6865794.184
2010,30621.827,9.703,15.895,15.449,4.024,526.73,518.732,94617.526,6948810.014
2011,32519.305,9.516,15.77,15.285,3.828,540.495,534.188,98369.032,7041712.689
2012,33633.324,9.507,15.802,15.333,3.756,551.6,546.334,101534.113,7126262.294
2013,34423.415,9.607,15.854,15.374,3.911,561.092,554.178,104859.449,7211822.209
2014,34839.904,9.571,15.913,15.314,3.878,566.13,563.331,108404.18,7297269.981
2015,34894.26,9.831,16.059,15.573,4.149,567.329,568.558,111935.896,7379227.32
