Year,Country,CO2_emission,Energy_consumption,Energy_production,GDP,Population
1980,World,4946.62713,292.8997896,296.3372276,27770.91028,4298126.522
1981,World,18701.97439,289.4010217,291.2877732,28665.81914,4377059.559
1982,World,18327.41397,289.6911022,290.1205666,28801.76951,4456829.974
1983,World,18284.00234,293.7316257,293.0466469,29617.57719,4537793.894
1984,World,18478.51221,307.2343654,308.9210137,31097.25251,4572800.782
1985,World,19602.54737,315.4271481,316.4642615,32289.04068,4657357.404
1986,World,20027.31284,322.1848537,326.7530652,33425.37102,4745135.925
1987,World,20511.3714,332.7462452,334.3845058,34792.98724,4835605.846
1988,World,21163.84056,345.5608764,347.4128631,42106.5954,4927545.084
1989,World,21842.54205,351.3523563,354.0081244,44075.63522,5056794.374
1990,World,22158.63016,353.5448737,357.8395222,49229.89052,5294251.487
1991,World,22144.80291,353.8937978,355.1308303,50156.76262,5396473.677
1992,World,21974.86771,352.851235,353.9360513,51016.35295,5481774.19
1993,World,21766.14215,355.6763484,354.5943272,52108.4951,5581568.665
1994,World,21891.92108,359.5224288,360.6731435,53646.34345,5663996.163
1995,World,22064.88427,369.363988,368.5758305,55384.82668,5745283.941
1996,World,22552.70154,379.1916275,377.753171,57529.16141,5826303.733
1997,World,23042.16185,380.3569397,382.3033015,59832.32657,5906491.026
1998,World,23112.8506,382.4889414,386.7930944,61263.85705,5985040.946
1999,World,23152.16435,389.6899241,386.6383613,63358.51552,6063581.745
2000,World,23494.91628,402.3787224,399.8552158,66398.35639,6141880.599
2001,World,24258.08089,405.2203622,405.5472603,67935.20564,6220160.568
2002,World,24463.10902,413.9709106,407.3583588,69813.8378,6298597.47
2003,World,25016.04746,428.5016324,423.1305352,72365.06033,6377289.066
2004,World,26169.80581,450.6891419,445.4459057,76045.70755,6456652.845
2005,World,27602.31953,465.2931064,461.3211349,79576.34507,6536810.245
2006,World,28689.67665,480.0246275,473.6970639,83710.08081,6618223.737
2007,World,29632.54013,493.0555679,482.3614393,88074.6017,6700371.898
2008,World,30083.78188,499.7859988,495.3209866,90624.60367,6783134.44
2009,World,30795.45094,495.0670825,493.042673,90003.17603,6865794.184
2010,World,30621.82723,526.7304677,518.7316575,94617.52644,6948810.014
2011,World,32519.30537,540.495127,534.1878726,98369.0322,7041712.689
2012,World,33633.32449,551.6003834,546.3336054,101534.1126,7126262.294
2013,World,34423.41475,561.0921506,554.177553,104859.4489,7211822.209
2014,World,34839.90425,566.1299422,563.3312419,108404.1799,7297269.981
2015,World,34894.26005,567.3288218,568.558292,111935.8957,7379227.32
2016,World,34751.60559,572.1592307,564.5802759,115567.8801,7464042.846
2017,World,34572.3807,584.2018163,578.2452544,119854.3217,7548343.789
2018,World,35002.90078,597.7365823,600.7287295,124161.994,7632247.012
2019,World,35584.9335,601.04049,611.5089686,127690.2471,7714631.064
